发布日期,岗位名称,薪酬low,薪酬high,几薪,工作城市,城市2,城市3,地区,学历,工作年限,公司名称,公司行业,其他方面,链接
2019年12月19日,招聘大数据分析工程师,18,25,12,广州,,,越秀区,大专及以上,5年以上,计算机软件,计算机软件,年底双薪|带薪年假|技能培训|公司规模大,https://www.liepin.com/job/1924995787.shtml
2019年12月19日,招聘电商数据分析主管,5,8,13,上海,,,漕河泾,统招本科,2年以上,广州超威生物科技有限公司,快消品,五险一金|岗位晋升|午餐补助|带薪年假|绩效奖金,https://www.liepin.com/job/1918055747.shtml
2019年12月19日,招聘数据分析师,10,15,13,上海,,,,统招本科,经验不限,上海助刻科技有限公司,互联网电商,绩效奖金|带薪年假|五险一金|团队聚餐|领导好|发展空间大,https://www.liepin.com/job/1925167733.shtml
2019年12月19日,招聘电商供应链数据分析主管（超威）,5,8,13,广州,,,,大专及以上,2年以上,广州超威生物科技有限公司,快消品,带薪年假|午餐补助|定期体检|五险一金,https://www.liepin.com/job/1921983539.shtml
2019年12月19日,招聘数据分析,20,40,15,杭州,,,,统招本科,5年以上,计算机软件,计算机软件,,https://www.liepin.com/a/18245635.shtml
2019年12月19日,招聘数据分析,20,40,15,杭州,,,,统招本科,5年以上,计算机软件,计算机软件,,https://www.liepin.com/a/18245589.shtml
2019年12月19日,招聘数据分析产品经理,15,30,13,北京,,,,统招本科,3年以上,人工智能,人工智能,,https://www.liepin.com/a/18003951.shtml
2019年12月19日,招聘数据分析/商业分析/业务分析,23,32,15,上海,,,,统招本科,5年以上,计算机软件,计算机软件,,https://www.liepin.com/a/18245481.shtml
2019年12月19日,招聘业务数据分析,20,37,12,上海,,,浦东新区,统招本科,1年以上,互联网+,互联网+,,https://www.liepin.com/a/17988609.shtml
2019年12月19日,招聘数据分析师,20,35,12,,,,,统招本科,5年以上,北京尚德在线教育科技有限公司,上市,五险一金|公司规模大|交通补助|发展空间大|扁平管理|领导好|弹性工作|上市公司,https://www.liepin.com/job/1920446417.shtml
2019年12月19日,招聘高级数据分析师,20,40,15,,,,,统招本科,3年以上,北京百炼智能科技有限公司,天使轮,股票期权|绩效奖金|带薪年假|定期体检|弹性工作|五险一金|领导好,https://www.liepin.com/job/1922077679.shtml
2019年12月19日,招聘经营分析专家（APP产品数据分析）,15,30,12,南京,,,,本科及以上,6年以上,中储智运,互联网电商,绩效奖金|午餐补助|定期体检|扁平管理|技能培训|五险一金,https://www.liepin.com/job/1925232767.shtml
2019年12月19日,招聘Data Analyst/ 数据分析师,25,30,12,广州,,,,本科及以上,5年以上,某大型数据信息服务商,互联网移动互联网电子商务，服务系统集成，游戏产业,,https://www.liepin.com/a/17418425.shtml
2019年12月19日,招聘数据分析担当,12,15,15,杭州,,,余杭区,统招本科,2年以上,资生堂(中国)投资有限公司,快消品,绩效奖金|带薪年假|定期体检|节日礼物|岗位晋升|五险一金|发展空间大|公司规模大|员工旅游,https://www.liepin.com/job/1924765821.shtml
2019年12月19日,招聘数据分析师,7,20,12,武汉,,,,本科及以上,1年以上,计算机软件,计算机软件,带薪年假|定期体检|节日礼物|领导好|扁平管理|管理规范|技能培训|五险一金|上市公司|发展空间大,https://www.liepin.com/job/1915791550.shtml
2019年12月19日,招聘数据分析师,7,12,12,昆明,,,,本科及以上,1年以上,计算机软件,计算机软件,带薪年假|定期体检|节日礼物|领导好|扁平管理|管理规范|技能培训|岗位晋升|五险一金|上市公司,https://www.liepin.com/job/1915765103.shtml
2019年12月19日,招聘数据分析师,8,20,12,北京,,,,本科及以上,1年以上,计算机软件,计算机软件,带薪年假|定期体检|节日礼物|领导好|扁平管理|管理规范|技能培训|五险一金|团队聚餐|上市公司,https://www.liepin.com/job/1912777493.shtml
2019年12月19日,招聘数据分析师,7,20,12,西安,,,雁塔区,本科及以上,1年以上,计算机软件,计算机软件,带薪年假|定期体检|节日礼物|扁平管理|管理规范|技能培训|五险一金|团队聚餐|上市公司|发展空间大,https://www.liepin.com/job/1912777465.shtml
2019年12月19日,招聘数据分析师（电网/能源行业）,8,16,12,西安,,,雁塔区,本科及以上,1年以上,计算机软件,计算机软件,带薪年假|定期体检|节日礼物|扁平管理|管理规范|技能培训|五险一金|团队聚餐|上市公司|发展空间大,https://www.liepin.com/job/1917753603.shtml
2019年12月19日,招聘数据分析工程师,25,50,12,深圳,南京,北京,,统招本科,4年以上,科技公司,通信(设备运营增值)，电子技术半导体集成电路，互联网移动互联网电子商务,,https://www.liepin.com/a/17970399.shtml
2019年12月19日,招聘高级算法工程师/数据分析师,15,25,13,长沙,,,,统招本科,6年以上,竞网智赢,互联网电商,五险一金|带薪年假|交通补助|全国互联网百强|发展空间大|年终奖金|定期体检|年度旅游,https://www.liepin.com/job/1923835023.shtml
2019年12月19日,招聘总行信用卡部数据分析岗,面议,,,上海,,,曹路,统招本科,2年以上,银行,银行,绩效奖金|带薪年假|交通补助|通讯津贴|定期体检|子女福利,https://www.liepin.com/job/1925123445.shtml
2019年12月19日,招聘数据分析专员,4,7,13,上海,,,,本科及以上,2年以上,交通/物流/运输,交通物流运输,年底双薪|绩效奖金|带薪年假|免费班车|上市公司|发展空间大|公司规模大|免费住宿|餐补房补,https://www.liepin.com/job/1924141403.shtml
2019年12月19日,招聘数据分析-排期,面议,,,北京,,,,统招本科,经验不限,中视购物,批发零售,绩效奖金|管理规范|五险一金|领导好|发展空间大,https://www.liepin.com/job/1925398603.shtml
2019年12月19日,招聘Python数据分析师,8,15,12,上海,,,闵行区,统招本科,经验不限,上海软科教育信息咨询有限公司,专业服务,领导好|技能培训|岗位晋升|发展空间大,https://www.liepin.com/job/1924038261.shtml
2019年12月19日,招聘数据分析师,6,10,12,上海,,,闵行区,本科及以上,经验不限,上海软科教育信息咨询有限公司,专业服务,领导好|技能培训|岗位晋升|发展空间大,https://www.liepin.com/job/1923970551.shtml
2019年12月19日,招聘高级数据分析师,面议,,,上海,,,闵行区,博士,经验不限,上海软科教育信息咨询有限公司,专业服务,领导好|技能培训|岗位晋升|发展空间大,https://www.liepin.com/job/1925308901.shtml
2019年12月19日,招聘数据分析专家,10,12,12,上海,,,,本科及以上,3年以上,某视频播放平台,互联网移动互联网电子商务，影视媒体艺术文化出版,,https://www.liepin.com/a/17206157.shtml
2019年12月19日,招聘用户数据分析经理-500强医疗器械公司,50,60,14,苏州,上海,,,硕士及以上,8年以上,医疗设备/器械,医疗设备器械,,https://www.liepin.com/a/18071359.shtml
2019年12月19日,招聘数据分析师,10,15,14,杭州,,,,本科及以上,3年以上,电子商务,电子商务,领导好|技能培训|岗位晋升|发展空间大|五险一金,https://www.liepin.com/job/1925382129.shtml
2019年12月19日,招聘总裁助理（数据分析师）,12,16,15,,,,,统招本科,5年以上,电子商务,电子商务,,https://www.liepin.com/a/17649431.shtml
2019年12月19日,招聘数据分析员,10,15,13,上海,,,静安区,本科及以上,1年以上,通信(设备/运营/增值),通信(设备运营增值),,https://www.liepin.com/a/16963769.shtml
2019年12月19日,招聘企划经理（数据分析方向）,15,20,17,上海,,,徐汇区,统招本科,3年以上,医保科技,互联网移动互联网电子商务，医疗保健美容卫生服务，医疗设备器械,,https://www.liepin.com/a/18094709.shtml
2019年12月19日,招聘数据分析师,20,40,15,北京,,,,统招本科,3年以上,省钱快报,轮,扁平管理|带薪年假|弹性工作|年度旅游|定期体检|市场投放过千万|每月新增百万用户|七险一金|绩效奖金,https://www.liepin.com/job/1921854047.shtml
2019年12月19日,招聘数据管理 数据分析 日语销售助理,6,8,12,上海,,,浦东新区,大专及以上,经验不限,上海乐粹网络科技有限公司,互联网电商,年底双薪|带薪年假|通讯津贴|定期体检|五险一金|岗位晋升,https://www.liepin.com/job/1914686254.shtml
2019年12月19日,招聘数据分析,5,7,12,,,,,大专及以上,2年以上,上海笕尚服饰有限公司,服装纺织,绩效奖金|带薪年假|弹性工作|岗位晋升|五险一金|全勤奖|领导好|发展空间大|公司规模大|优秀员工奖,https://www.liepin.com/job/1919539199.shtml
2019年12月19日,招聘数据分析主管工程师,10,15,12,广州,,,增城区,统招本科,5年以上,汽车/摩托车,汽车摩托车,绩效奖金|带薪年假|交通补助|通讯津贴|午餐补助|定期体检|五险一金|500强|领导好,https://www.liepin.com/job/1920304305.shtml
2019年12月19日,招聘运营专员/数据专员/数据分析,5,6,12,深圳,,,,大专及以上,1年以上,深圳世联行集团股份有限公司,房地产服务,年底双薪|通讯津贴|午餐补助|交通补助|带薪年假|管理规范|定期体检|岗位晋升|生育补贴,https://www.liepin.com/job/1925372251.shtml
2019年12月19日,招聘数据分析师,20,40,13,,,,,本科及以上,3年以上,国内某知名互联网公司,互联网移动互联网电子商务，计算机软件,,https://www.liepin.com/a/17925269.shtml
2019年12月19日,招聘伊利集团液态奶事业部招聘畜牧工程师（数据分析）,面议,,,呼和浩特,,,土左旗,硕士及以上,1年以上,伊利实业,快消品,绩效奖金|带薪年假|岗位晋升|五险一金|公司规模大,https://www.liepin.com/job/1924302527.shtml
2019年12月19日,招聘高级数据分析师,30,34,12,北京,,,,硕士及以上,5年以上,某金融AI公司,互联网金融，人工智能，其他,,https://www.liepin.com/a/17459333.shtml
2019年12月19日,招聘数据分析,6,10,12,上海,,,凉城,大专及以上,2年以上,上海怡沐家居用品有限公司,互联网电商,绩效奖金|带薪年假|年度旅游|定期体检|年底双薪,https://www.liepin.com/job/1914440005.shtml
2019年12月19日,招聘高级数据分析师,15,35,12,广州,,,天河区,统招本科,5年以上,要出发周边游（创新工场旗下）,轮,弹性工作|扁平管理|五险一金|年度旅游|带薪年假|发展空间大,https://www.liepin.com/job/1922080969.shtml
2019年12月19日,招聘数据分析师,8,12,12,上海,,,静安区,大专及以上,1年以上,上海怡沐家居用品有限公司,互联网电商,绩效奖金|带薪年假|年度旅游|定期体检|年底双薪,https://www.liepin.com/job/1916526609.shtml
2019年12月19日,招聘风控策略/数据分析,25,50,12,,,,,统招本科,5年以上,银行,银行,,https://www.liepin.com/a/17906309.shtml
2019年12月19日,招聘数据分析专员,5,7,14,广州,,,站前,统招本科,2年以上,制药/生物工程,制药生物工程,定期体检|交通补助|上市公司|公司规模大|五险一金,https://www.liepin.com/job/1916263021.shtml
2019年12月19日,招聘数据分析主管,10,15,13,深圳,,,龙华,本科及以上,3年以上,深圳全棉时代,服装纺织,["绩效奖金"|"带薪年假"|"通讯津贴"|"扁平管理"|"管理规范"|"五险一金"|"免费班车"],https://www.liepin.com/job/1915744147.shtml
2019年12月19日,招聘数据分析经理,18,30,15,深圳,,,南山区,学历不限,5年以上,深圳金融企业,基金证券期货投资，信托担保拍卖典当,,https://www.liepin.com/a/17612941.shtml
2019年12月19日,招聘数据分析师,面议,,,,,,,统招本科,5年以上,慧算账,轮,绩效奖金|带薪年假|节日礼物|岗位晋升|五险一金,https://www.liepin.com/job/1924438105.shtml
2019年12月19日,招聘数据分析师（用户分析）,面议,,,,,,,统招本科,5年以上,慧算账,轮,绩效奖金|带薪年假|节日礼物|岗位晋升|五险一金,https://www.liepin.com/job/1924404175.shtml
2019年12月19日,招聘人力资源数据分析员,5,6,12,宁波,,,,本科及以上,1年以上,贝发集团,办公设备,领导好|技能培训|岗位晋升|发展空间大 ,https://www.liepin.com/job/1923987383.shtml
2019年12月19日,招聘数据分析工程师,面议,,,北京,,,,本科及以上,2年以上,欧普拉软件技术(北京)有限公司,互联网电商,带薪年假|定期体检|弹性工作|节日礼物|领导好|扁平管理|五险一金|团队聚餐|上市公司,https://www.liepin.com/job/1923476643.shtml
2019年12月19日,招聘商业化数据分析专家,20,40,17,,,,,统招本科,3年以上,国内某知名社交公司,互联网移动互联网电子商务，游戏产业，计算机软件,,https://www.liepin.com/a/17877653.shtml
2019年12月19日,招聘 风险数据分析专家,15,30,12,上海,,,,硕士及以上,2年以上,国内某金融信息服务公司,大数据风控，大数据行业应用,,https://www.liepin.com/a/18244093.shtml
2019年12月19日,招聘风险数据分析主管,25,45,14,,,,,本科及以上,3年以上,知名互联网金融公司（行业前三）,互联网移动互联网电子商务，银行，基金证券期货投资,,https://www.liepin.com/a/18239011.shtml
2019年12月19日,招聘数据分析师,8,12,12,,,,,本科及以上,1年以上,北京九鼎无双科技有限公司,未融资,午餐补助|扁平管理|休闲餐点|领导好|发展空间大|公司规模大|优秀员工奖,https://www.liepin.com/job/1925341345.shtml
2019年12月19日,招聘数据分析,16,30,15,上海,,,,统招本科,3年以上,综合性电商,综合性电商,,https://www.liepin.com/a/17106573.shtml
2019年12月19日,招聘数据分析产品经理(J12322),面议,,,北京,,,,统招本科,5年以上,58同城,互联网电商,绩效奖金|带薪年假|定期体检|弹性工作|年度旅游|免费班车|五险一金|上市公司|发展空间大,https://www.liepin.com/job/1922778353.shtml
2019年12月19日,招聘数据分析建模师(J12333),面议,,,北京,,,,统招本科,2年以上,58同城,互联网电商,绩效奖金|带薪年假|定期体检|弹性工作|年度旅游|免费班车|五险一金|上市公司|发展空间大,https://www.liepin.com/job/1922915359.shtml
2019年12月19日,招聘数据分析师-市场研究方向,15,20,12,苏州,,,,统招本科,3年以上,朗动网络,轮,带薪年假|交通补助|通讯津贴|午餐补助|定期体检|弹性工作|管理规范|技能培训|岗位晋升|五险一金,https://www.liepin.com/job/1925375511.shtml
2019年12月19日,招聘数据分析项目助理,5,7,12,深圳,,,科技园,大专及以上,1年以上,外包服务,外包服务,带薪年假|节日礼物|五险一金|团队聚餐|生育补贴|上市公司|公司规模大,https://www.liepin.com/job/1925396439.shtml
2019年12月19日,招聘执行总裁秘书（数据分析方向）,10,15,12,温州,,,瓯海区,统招本科,3年以上,某科技,造纸和纸制品业，电子商务,,https://www.liepin.com/a/18221035.shtml
2019年12月19日,招聘业务数据分析师,10,20,12,上海,,,,本科及以上,1年以上,电子商务,电子商务,带薪年假|定期体检|扁平管理|技能培训|五险一金|领导好,https://www.liepin.com/job/1924808023.shtml
2019年12月19日,招聘数据分析师,10,15,12,深圳,,,,本科及以上,2年以上,大连华讯投资股份有限公司深圳分公司,基金证券投资,五险一金|绩效奖金|带薪年假|节日礼物|全勤奖|年底双薪,https://www.liepin.com/job/1919950223.shtml
2019年12月19日,招聘数据分析师（报表开发方向）,5,10,13,郑州,,,,统招本科,3年以上,计算机软件,计算机软件,定期体检|通讯津贴|带薪年假|五险一金,https://www.liepin.com/job/1914944825.shtml
2019年12月19日,招聘大数据分析师,8,16,12,广州,,,,本科及以上,3年以上,广州锐正知识产权服务股份有限公司,专业服务,五险一金|绩效奖金|带薪年假|年度旅游|节日礼物,https://www.liepin.com/job/1922278077.shtml
2019年12月19日,招聘数据分析主管,5,7,12,厦门,,,思明区,本科及以上,2年以上,斐乐服饰有限公司,服装纺织,带薪年假|五险一金|发展空间大|领导好|公司规模大|优秀员工奖|上市公司|团队聚餐|岗位晋升|技能培训|管理规范,https://www.liepin.com/job/1912984853.shtml
2019年12月19日,招聘数据分析师,面议,,,上海,,,曹家渡,统招本科,2年以上,伽蓝集团,快消品,绩效奖金|带薪年假|定期体检|管理规范|岗位晋升|五险一金|公司规模大,https://www.liepin.com/job/1920108101.shtml
2019年12月19日,招聘数据分析师,10,15,12,上海,,,江湾,大专及以上,2年以上,上海耐动体育用品有限公司,轮,绩效奖金|节日礼物|岗位晋升|五险一金|全勤奖|领导好|发展空间大|优秀员工奖,https://www.liepin.com/job/1924193475.shtml
2019年12月19日,招聘商品数据分析,10,30,12,南宁,,,江南区,学历不限,5年以上,广西诺库服饰有限公司,服装纺织,绩效奖金|节日礼物|扁平管理|岗位晋升|团队聚餐|五险|包吃,https://www.liepin.com/job/1924506973.shtml
2019年12月19日,招聘数据分析师-教育方向,10,20,12,深圳,,,,统招本科,2年以上,游戏产业,游戏产业,定期体检|弹性工作|年度旅游|五险一金|团队聚餐|带薪年假,https://www.liepin.com/job/1921748635.shtml
2019年12月19日,招聘数据分析,10,15,12,四川,成都,,,学历不限,3年以上,百货/批发/零售,百货批发零售,,https://www.liepin.com/a/18220041.shtml
2019年12月19日,招聘数据分析师-工业大数据方向,25,40,13,,,,,本科及以上,2年以上,知名工业互联网/工业大数据平台,互联网移动互联网电子商务，计算机软件，仪器仪表工业自动化电气,,https://www.liepin.com/a/18243271.shtml
2019年12月19日,招聘数据分析师,15,35,15,,,,,统招本科,2年以上,北京乐信圣文科技有限责任公司,轮,绩效奖金|带薪年假|通讯津贴|弹性工作|扁平管理|岗位晋升|五险一金|发展空间大,https://www.liepin.com/job/1924814235.shtml
2019年12月19日,招聘数据分析经理,20,25,14,广州,,,天河区,统招本科,3年以上,某科技公司,计算机软件，互联网移动互联网电子商务，服务系统集成,,https://www.liepin.com/a/17862121.shtml
2019年12月19日,招聘数据分析师,4,7,13,温州,,,鹿城区,大专及以上,1年以上,计算机软件,计算机软件,管理规范|领导好|发展空间大,https://www.liepin.com/job/1918773903.shtml
2019年12月19日,招聘数据分析专员,3,5,12,贵阳,,,南明区,大专及以上,1年以上,哈尔滨地利生鲜农产品企业管理有限公司,批发零售,发展空间大|领导好|公司规模大,https://www.liepin.com/job/1920214525.shtml
2019年12月19日,招聘资深数据分析师,20,40,14,北京,,,,本科及以上,5年以上,好赞科技,轮,绩效奖金|带薪年假|交通补助|通讯津贴|午餐补助|弹性工作|年度旅游|扁平管理|五险一金|发展空间大,https://www.liepin.com/job/1925395163.shtml
2019年12月19日,招聘数据分析岗（综合）,面议,,,,,,,本科及以上,8年以上,京东商城,互联网电商,年底双薪|绩效奖金|带薪年假|午餐补助|定期体检|免费班车|五险一金|团队聚餐|上市公司|优秀员工奖,https://www.liepin.com/job/1918049135.shtml
2019年12月19日,招聘数据分析师,面议,,,,,,,统招本科,3年以上,京东商城,互联网电商,年底双薪|绩效奖金|带薪年假|午餐补助|定期体检|免费班车|五险一金|团队聚餐|上市公司|优秀员工奖,https://www.liepin.com/job/1921095087.shtml
2019年12月19日,招聘数据分析高级经理,面议,,,,,,,统招本科,5年以上,京东商城,互联网电商,年底双薪|绩效奖金|带薪年假|午餐补助|定期体检|免费班车|五险一金|团队聚餐|上市公司|优秀员工奖,https://www.liepin.com/job/1921094561.shtml
2019年12月19日,招聘8k起实习生金融数据分析师助理,6,8,12,苏州,,,,本科及以上,经验不限,民众证券投资咨询有限公司苏州分公司,基金证券投资,领导好|技能培训|岗位晋升|发展空间大 ,https://www.liepin.com/job/1922094355.shtml
2019年12月19日,招聘高级数据分析师/媒介顾问(J11007),7,10,15,广州,,,车陂,本科及以上,1年以上,明略科技集团,轮,绩效奖金|带薪年假|交通补助|午餐补助|定期体检|弹性工作|技能培训|岗位晋升|五险一金|发展空间大,https://www.liepin.com/job/1924892883.shtml
2019年12月19日,招聘高级数据分析师(J11008),7,10,15,广州,,,大石,本科及以上,1年以上,明略科技集团,轮,绩效奖金|带薪年假|交通补助|午餐补助|定期体检|弹性工作|技能培训|岗位晋升|五险一金|发展空间大,https://www.liepin.com/job/1924578545.shtml
2019年12月19日,招聘数据分析（绩效管理方向）,10,20,12,,,,,本科及以上,3年以上,美团点评,战略投资,绩效奖金|发展空间大|公司规模大,https://www.liepin.com/job/1918523947.shtml
2019年12月19日,招聘数据分析主管,15,30,12,,,,,统招本科,3年以上,美团点评,战略投资,绩效奖金|发展空间大|公司规模大,https://www.liepin.com/job/1918477433.shtml
2019年12月19日,招聘数据分析师,8,12,13,佛山,,,,大专及以上,2年以上,广东某电器有限公司,家具家电，电子商务，计算机软件,,https://www.liepin.com/a/17583239.shtml
2019年12月19日,招聘经营数据分析,15,20,15,,,,,本科及以上,3年以上,美团点评,战略投资,绩效奖金|发展空间大|公司规模大,https://www.liepin.com/job/1921428355.shtml
2019年12月19日,招聘商家管理数据分析,10,20,15,,,,,统招本科,3年以上,美团点评,战略投资,绩效奖金|发展空间大|公司规模大,https://www.liepin.com/job/1921002859.shtml
2019年12月19日,招聘高级数据分析师,10,20,15,,,,,本科及以上,2年以上,美团点评,战略投资,绩效奖金|发展空间大|公司规模大,https://www.liepin.com/job/1922592817.shtml
2019年12月19日,招聘数据分析师,15,20,12,,,,,本科及以上,2年以上,美团点评,战略投资,绩效奖金|发展空间大|公司规模大,https://www.liepin.com/job/1922275311.shtml
2019年12月19日,招聘数据分析,10,20,15,,,,,统招本科,2年以上,美团点评,战略投资,绩效奖金|发展空间大|公司规模大,https://www.liepin.com/job/1922271241.shtml
2019年12月19日,招聘销售数据分析经理,15,21,12,贵港,,,,统招本科,5年以上,房地产开发/建筑/建材/工程,房地产开发建筑建材工程,,https://www.liepin.com/a/17727531.shtml
2019年12月19日,招聘Junior Data Analyst初级数据分析员,面议,,,上海,,,,统招本科,1年以上,银行,银行,定期体检|弹性工作|年度旅游|节日礼物|子女福利|技能培训,https://www.liepin.com/job/1915478585.shtml
2019年12月19日,招聘数据分析经理,12,17,14,宁波,,,慈溪,本科及以上,4年以上,家具/家电,家具家电,领导好|技能培训|岗位晋升|发展空间大,https://www.liepin.com/job/1922941711.shtml
2019年12月19日,招聘资产保全数据分析 Collection Data Analyst,10,15,12,上海,,,,本科及以上,5年以上,银行,银行,定期体检|弹性工作|年度旅游|节日礼物|子女福利|技能培训,https://www.liepin.com/job/1925394275.shtml
2019年12月19日,招聘数据分析员 Data Analyst,面议,,,上海,,,,统招本科,经验不限,银行,银行,定期体检|弹性工作|年度旅游|节日礼物|子女福利|技能培训,https://www.liepin.com/job/1923861123.shtml
2019年12月19日,招聘数据分析部负责人,25,35,14,广州,,,越秀区,本科及以上,3年以上,教育/培训/学术/科研/院校,教育培训学术科研院校,,https://www.liepin.com/a/18242565.shtml
2019年12月19日,招聘数据分析师,10,20,12,北京,,,,本科及以上,2年以上,小米,互联网电商,年底双薪|带薪年假|午餐补助|定期体检|弹性工作|节日礼物|技能培训|岗位晋升|五险一金|子女福利,https://www.liepin.com/job/1925024061.shtml
2019年12月19日,招聘会员数据分析师,15,20,15,广州,,,越秀区,本科及以上,3年以上,新零售,新零售,,https://www.liepin.com/a/18223129.shtml
2019年12月19日,招聘数据分析师,10,20,12,深圳,,,福田区,本科及以上,2年以上,兰亭集势,互联网电商,定期体检|午餐补助|带薪年假|全勤奖|五险一金|技能培训|岗位晋升|管理规范|节日礼物|上市公司,https://www.liepin.com/job/1915814874.shtml
2019年12月19日,招聘数据分析师,10,15,12,上海,,,,本科及以上,3年以上,上海龙韵传媒集团股份有限公司,广告市场会展,领导好|技能培训|岗位晋升|发展空间大 ,https://www.liepin.com/job/1916755779.shtml
2019年12月19日,招聘数据分析师,8,15,12,上海,,,浦东新区,本科及以上,经验不限,上海龙韵传媒集团股份有限公司,广告市场会展,领导好|技能培训|岗位晋升|发展空间大 ,https://www.liepin.com/job/1924069819.shtml
2019年12月19日,招聘数据分析员,7,10,13,佛山,,,,大专及以上,2年以上,广东某知名电器有限公司,家具家电，仪器仪表工业自动化电气,,https://www.liepin.com/a/17873923.shtml
2019年12月19日,招聘数据分析专员,8,10,12,天津,,,西青区,本科及以上,2年以上,北京快手科技有限公司,轮,绩效奖金|带薪年假|午餐补助|弹性工作|五险一金|岗位晋升|团队聚餐|发展空间大|节日礼物|扁平管理,https://www.liepin.com/job/1917770373.shtml
2019年12月19日,招聘数据分析员- CIM - CQ GDC,7,13,12,重庆,,,,本科及以上,3年以上,德勤,专业服务,带薪年假|定期体检|管理规范|五险一金|外派津贴|500强|公司规模大|补充医疗保险,https://www.liepin.com/job/1923191379.shtml
2019年12月19日,招聘运营主管（数据分析方向）,面议,,,上海,,,南京西路,统招本科,3年以上,伽蓝集团,快消品,绩效奖金|带薪年假|定期体检|管理规范|岗位晋升|五险一金|公司规模大,https://www.liepin.com/job/1915443964.shtml
2019年12月19日,招聘数据分析（游戏项目）,15,25,13,北京,,,朝阳门,统招本科,2年以上,创智优品,轮,绩效奖金|弹性工作|Mac顶配|五险一金|岗位晋升|扁平管理|年底双薪|年轻团队|福利超赞|休闲餐点,https://www.liepin.com/job/1912619357.shtml
2019年12月19日,招聘数据分析师,15,30,14,北京,,,,统招本科,3年以上,某国企性质大型It公司,互联网移动互联网电子商务，计算机软件，服务系统集成,,https://www.liepin.com/a/18125181.shtml
2019年12月19日,招聘用户增长数据分析师,25,50,13,北京,,,,统招本科,2年以上,某社交平台,互联网移动互联网电子商务，计算机软件，服务系统集成,,https://www.liepin.com/a/17898137.shtml
2019年12月19日,招聘资深数据分析,15,20,13,杭州,,,,统招本科,3年以上,某电商解决方案企业,互联网移动互联网电子商务，计算机软件，服务系统集成,,https://www.liepin.com/a/17473997.shtml
2019年12月19日,招聘商业化数据分析专家,30,60,13,北京,,,,统招本科,3年以上,某社交平台,互联网移动互联网电子商务，计算机软件，服务系统集成,,https://www.liepin.com/a/17157779.shtml
2019年12月19日,招聘数据分析主任,20,30,12,广州,,,,本科及以上,3年以上,XX科技,互联网移动互联网电子商务，银行,,https://www.liepin.com/a/17887475.shtml
2019年12月19日,招聘数据分析师,14,25,15,,,,,统招本科,5年以上,计算机软件,计算机软件,发展空间大|带薪年假|午餐补助|定期体检|领导好|岗位晋升|通讯津贴|扁平管理|节日礼物|绩效奖金,https://www.liepin.com/job/1925393877.shtml
2019年12月19日,招聘数据分析总监/公司副总裁,35,50,13,上海,,,浦东新区,学历不限,5年以上,互联网+,互联网+,,https://www.liepin.com/a/18073991.shtml
2019年12月19日,招聘数据分析总监,35,50,13,上海,,,浦东新区,大专及以上,5年以上,互联网+,互联网+,,https://www.liepin.com/a/17911779.shtml
2019年12月19日,招聘商品数据分析主管,8,12,13,上海,,,,本科及以上,3年以上,马克华菲上海,服装纺织,领导好|技能培训|岗位晋升|发展空间大,https://www.liepin.com/job/1925384977.shtml
2019年12月19日,招聘高级数据分析师,12,25,12,成都,,,红星路,本科及以上,3年以上,易智瑞(中国)信息技术有限公司,未融资,带薪年假|交通补助|通讯津贴|午餐补助|定期体检|节日礼物|扁平管理|管理规范|技能培训|五险一金,https://www.liepin.com/job/1924712201.shtml
2019年12月19日,招聘高级数据分析师,12,25,12,武汉,,,丁字桥,本科及以上,3年以上,易智瑞(中国)信息技术有限公司,未融资,带薪年假|交通补助|通讯津贴|午餐补助|定期体检|节日礼物|扁平管理|管理规范|技能培训|五险一金,https://www.liepin.com/job/1924712145.shtml
2019年12月19日,招聘高级数据分析师,15,25,12,,,,,本科及以上,3年以上,易智瑞(中国)信息技术有限公司,未融资,带薪年假|交通补助|通讯津贴|午餐补助|定期体检|节日礼物|扁平管理|管理规范|技能培训|五险一金,https://www.liepin.com/job/1924712049.shtml
2019年12月19日,招聘高级数据分析师,面议,,,,,,,硕士及以上,5年以上,智慧足迹数据科技有限公司,其他,带薪年假|交通补助|通讯津贴|定期体检|五险一金|发展空间大|绩效奖金,https://www.liepin.com/job/1925098469.shtml
2019年12月19日,招聘数据分析,25,40,16,深圳,,,南山区,统招本科,4年以上,行业Saas,行业,,https://www.liepin.com/a/18241885.shtml
2019年12月19日,招聘数据分析研究员,30,33,15,,,,,硕士及以上,2年以上,电子技术/半导体/集成电路,电子技术半导体集成电路,,https://www.liepin.com/a/17936379.shtml
2019年12月19日,招聘数据分析师,22,25,12,北京,,,,本科及以上,2年以上,互联网/移动互联网/电子商务,互联网移动互联网电子商务,,https://www.liepin.com/a/17672875.shtml
2019年12月19日,招聘数据分析产品经理,面议,,,深圳,,,西丽,统招本科,5年以上,TCL实业控股(广东)股份有限公司,电子芯片半导体,年底双薪|带薪年假|定期体检|弹性工作|年度旅游|节日礼物|免费班车|扁平管理|管理规范|领导好,https://www.liepin.com/job/1925393551.shtml
2019年12月19日,招聘大数据分析师,25,41,12,广州,,,,统招本科,5年以上,某上市集团,银行，计算机软件，服务系统集成,,https://www.liepin.com/a/17879681.shtml
2019年12月19日,招聘主题数据分析师,20,35,12,广州,,,,统招本科,5年以上,某上市集团,银行，计算机软件，服务系统集成,,https://www.liepin.com/a/17640041.shtml
