小区,地区,厅,面积,单位,方向,状态,层,build-year,形式,钱,单位,网址,推荐语
天通苑本六区 ,天通苑,2室1厅 ,77.79,平米, 南 北 , 其他 , 底层(共6层) , 2000年建 , 板楼,368,万,https://bj.lianjia.com/ershoufang/101106389598.html,板楼一层自住南北通透两居室 看房方便 诚意出售
阳光星苑 ,西红门,2室1厅 ,70.84,平米, 东 西 , 其他 , 低楼层(共16层) , 2013年建 , 板楼,246,万,https://bj.lianjia.com/ershoufang/101106389597.html,阳光星苑 2室1厅 246万
伯宁花园 ,农展馆,2室1厅 ,124.76,平米, 东南 , 精装 , 中楼层(共18层) , 1996年建 , 塔楼,900,万,https://bj.lianjia.com/ershoufang/101106389594.html,此房满五年且名下唯一 住房 临近朝阳公园 蓝色港湾
万象新天天际高尔夫 ,常营,3室2厅 ,120.38,平米, 南 北 , 其他 , 中楼层(共18层) , 2009年建 , 板塔结合,770,万,https://bj.lianjia.com/ershoufang/101106389587.html,天际高尔夫经典小三居，业主诚心出售
后现代城C区 ,大望路,2室1厅 ,81.12,平米, 东 东北 , 其他 , 低楼层(共28层) , 2007年建 , 塔楼,560,万,https://bj.lianjia.com/ershoufang/101106389566.html,户型方正，满五唯一，装修保养好
文慧园10号公寓 ,新街口,2室1厅 ,97.12,平米, 西南 , 其他 , 中楼层(共18层) , 2004年建 , 塔楼,860,万,https://bj.lianjia.com/ershoufang/101106388666.html,西直门 小西天 西南精装大两居室 业主诚售
翠成馨园 ,垡头,3室1厅 ,140.65,平米, 南 北 , 其他 , 中楼层(共14层) , 2009年建 , 板塔结合,645,万,https://bj.lianjia.com/ershoufang/101106388607.html,翠成馨园 3室1厅 645万
枣园小区 ,枣园,2室2厅 ,70.9,平米, 南 北 , 其他 , 顶层(共5层) , 1996年建 , 板楼,275,万,https://bj.lianjia.com/ershoufang/101106388605.html,枣园小区 2室2厅 275万
怡海花园恒丰园 ,玉泉营,1室1厅 ,68.82,平米, 西南 , 其他 , 中楼层(共26层) , 2006年建 , 塔楼,460,万,https://bj.lianjia.com/ershoufang/101106388581.html,怡海花园恒丰园 1室1厅 460万
樱花园一区 ,李桥,1室0厅 ,9.64,平米, 南 , 简装 , 底层(共6层) , 2000年建 , 板楼,72,万,https://bj.lianjia.com/ershoufang/101106388553.html,樱花园一区商品房看房方便业主诚心出售
西上园四区 ,武夷花园,1室1厅 ,50.71,平米, 南 , 简装 , 高楼层(共7层) , 2003年建 , 板楼,270,万,https://bj.lianjia.com/ershoufang/101106388552.html,西上园四区 1室1厅 270万
融科橄榄城三期 ,望京,1室1厅 ,75.86,平米, 西北 , 精装 , 高楼层(共27层) , 2009年建 , 板楼,750,万,https://bj.lianjia.com/ershoufang/101106388491.html,橄榄城三期一居 高楼层满五唯一 夜景想不到的棒
芳林苑 ,方庄,1室1厅 ,67.61,平米, 北 , 精装 , 低楼层(共22层) , 2000年建 , 塔楼,410,万,https://bj.lianjia.com/ershoufang/101106388482.html,芳林苑 1室1厅 410万
松榆东里 ,北工大,1室1厅 ,40.34,平米, 东 西 , 精装 , 高楼层(共6层) , 1992年建 , 板楼,289,万,https://bj.lianjia.com/ershoufang/101106388454.html,北工大  明厨明卫通透一居室  精装修 看房随时
建材城东一里 ,西三旗,3室2厅 ,100,平米, 南 北 , 简装 , 中楼层(共5层) , 2002年建 , 板楼,570,万,https://bj.lianjia.com/ershoufang/101106388274.html,南北通透 三居两卫 自住装修 停车方便
高巢 ,清河,1室1厅 ,47.96,平米, 南 , 其他 , 低楼层(共15层) , 2005年建 , 塔楼,325,万,https://bj.lianjia.com/ershoufang/101106388226.html,海淀 清河 南向开间 采光好 有电梯 楼龄新
北郡嘉源 ,南邵,1室1厅 ,59.78,平米, 南 , 其他 , 中楼层(共11层) ,  , 塔楼,258,万,https://bj.lianjia.com/ershoufang/101106388048.html,北郡嘉源 1室1厅 258万
尚峯壹號 ,顺义其它,3房间1卫 ,107.33,平米, 南 , 精装 , 高楼层(共18层) , 2015年建 , 板楼,480,万,https://bj.lianjia.com/ershoufang/101106387995.html,尚峯壹號 3房间1卫 480万
广通苑 ,西直门,3室1厅 ,104.8,平米, 南 北 , 精装 , 顶层(共12层) , 1998年建 , 塔楼,980,万,https://bj.lianjia.com/ershoufang/101106387945.html,西直门 广通苑 南北三居室 精装修 诚心出售
风景club ,草桥,2室2厅 ,82.08,平米, 西北 , 简装 , 高楼层(共15层) , 2007年建 , 塔楼,560,万,https://bj.lianjia.com/ershoufang/101106387943.html,挑高厅 落地阳台 大飘窗 视野开阔
新海北里 ,马驹桥,2室1厅 ,74.25,平米, 南 北 , 其他 , 中楼层(共6层) , 2006年建 , 板楼,270,万,https://bj.lianjia.com/ershoufang/101106387936.html,新海北里 2室1厅 270万
兴隆都市馨园 ,崇文门,1室1厅 ,53.15,平米, 南 , 简装 , 地下室(共7层) , 2003年建 , 板塔结合,478,万,https://bj.lianjia.com/ershoufang/101106387917.html,南向无遮挡 低楼层便于出行 诚意出售 看房方便
玉桥北里 ,乔庄,2室1厅 ,56.38,平米, 南 北 , 精装 , 中楼层(共6层) , 1991年建 , 板楼,298,万,https://bj.lianjia.com/ershoufang/101106387804.html,玉桥北里 2室1厅 298万
龙跃苑东五区 ,回龙观,3室1厅 ,122.92,平米, 南 北 , 其他 , 高楼层(共6层) , 2006年建 , 板楼,540,万,https://bj.lianjia.com/ershoufang/101106387796.html,龙跃苑东五区大三居，视野开阔，采光好，非顶层
文慧园 ,新街口,3室1厅 ,124.53,平米, 西南 , 其他 , 顶层(共20层) , 2002年建 , 塔楼,1238,万,https://bj.lianjia.com/ershoufang/101106387787.html,积水潭文慧园三居室！大客厅！高楼层电梯房！无遮挡
天通苑东二区 ,天通苑,2室1厅 ,106.1,平米, 东南 , 精装 , 中楼层(共19层) , 2001年建 , 塔楼,429,万,https://bj.lianjia.com/ershoufang/101106387770.html,商品房，精装修，高原值，东南向。
汇锦苑 ,青塔,2室1厅 ,95.03,平米, 北 南 , 简装 , 高楼层(共24层) , 2005年建 , 板塔结合,440,万,https://bj.lianjia.com/ershoufang/101106387742.html,西四环汇锦苑2005年 南北通透全明格局两居室 出入方便
燕山水泥厂 ,石景山其它,2室1厅 ,71.17,平米, 南 , 简装 , 中楼层(共6层) , 2000年建 , 板楼,281,万,https://bj.lianjia.com/ershoufang/101106387707.html,满五年 名下一套 中间层 无浪费面积 客厅方正
京通苑 ,管庄,1室1厅 ,63.36,平米, 东南 , 简装 , 高楼层(共24层) , 2000年建 , 塔楼,295,万,https://bj.lianjia.com/ershoufang/101106387705.html,京通苑 高层一居室 视野采光无遮挡 八通线管庄站
汇新家园 ,万柳,3室1厅 ,111.28,平米, 南 , 简装 , 中楼层(共16层) , 2004年建 , 塔楼,1210,万,https://bj.lianjia.com/ershoufang/101106387703.html,全南向两居室，采光无遮挡，满五年，看房方便
紫金新干线 ,霍营,2室1厅 ,89.1,平米, 南 北 , 简装 , 中楼层(共9层) , 2009年建 , 板楼,465,万,https://bj.lianjia.com/ershoufang/101106387655.html,紫金新干线 2室1厅 465万
兰园 ,马连洼,2室1厅 ,60.62,平米, 南 北 , 其他 , 高楼层(共6层) , 1998年建 , 板楼,456,万,https://bj.lianjia.com/ershoufang/101106387652.html,地铁16号线马连洼站兰园小区，南北双阳台两居室
慧忠北里第一社区 ,亚运村,2室1厅 ,74.75,平米, 南 , 简装 , 中楼层(共16层) , 1996年建 , 板楼,408,万,https://bj.lianjia.com/ershoufang/101106387610.html,板楼南北2居室中间楼层有电梯 首套客户契税1%
太阳园 ,知春路,2室1厅 ,99.87,平米, 东南 , 简装 , 中楼层(共27层) , 2002年建 , 塔楼,1020,万,https://bj.lianjia.com/ershoufang/101106387593.html,太阳园 2室1厅 1020万
怡海花园恒泰园 ,科技园区,2室1厅 ,66.11,平米, 南 北 , 其他 , 低楼层(共6层) , 1997年建 , 板楼,465,万,https://bj.lianjia.com/ershoufang/101106387564.html,怡海花园恒泰园 2室1厅 465万
莲花小区 ,六里桥,2室2厅 ,84.81,平米, 西南 , 精装 , 低楼层(共28层) , 1999年建 , 板塔结合,680,万,https://bj.lianjia.com/ershoufang/101106387541.html,莲花小区 2室2厅 680万
春园 ,青塔,3室1厅 ,115.8,平米, 西北 , 精装 , 低楼层(共18层) , 2001年建 , 塔楼,500,万,https://bj.lianjia.com/ershoufang/101106387524.html,春园 3室1厅 500万
金海国际北区 ,百子湾,4室2厅 ,197.27,平米, 南 北 , 简装 , 中楼层(共13层) , 2005年建 , 板楼,950,万,https://bj.lianjia.com/ershoufang/101106387484.html,南北四居室，刷卡入户，安静不临街
阳光上东滨河花园 ,酒仙桥,4室1厅 ,218.46,平米, 西 南 北 , 精装 , 低楼层(共24层) , 2005年建 , 板楼,1750,万,https://bj.lianjia.com/ershoufang/101106387448.html,双主卧朝南 眼镜户型 三面环视观景 低总价四居
世纪村东区 ,亚运村小营,1室1厅 ,66.7,平米, 南 西 , 简装 , 中楼层(共24层) , 1996年建 , 塔楼,380,万,https://bj.lianjia.com/ershoufang/101106387445.html,西南大1居 满五年唯一 楼层好 采光视野好
万年花城四期 ,玉泉营,1室1厅 ,71.11,平米, 北 西 , 精装 , 高楼层(共27层) , 2008年建 , 塔楼,470,万,https://bj.lianjia.com/ershoufang/101106387420.html,万年花城 精装一居 不临街 无遮挡 小区中央
智学苑 ,西二旗,3室1厅 ,119.88,平米, 西北 , 简装 , 低楼层(共24层) , 2001年建 , 塔楼,568,万,https://bj.lianjia.com/ershoufang/101106387417.html,智学苑 三居户型 中间楼层 周边配套齐全
东湖湾二期 ,望京,2室1厅 ,108.57,平米, 东南 西北 , 其他 , 中楼层(共28层) , 2010年建 , 板楼,1050,万,https://bj.lianjia.com/ershoufang/101106387406.html,东湖湾二期 2室1厅 1050万
通惠小区 ,北关,3室1厅 ,130.58,平米, 东 西 , 简装 , 低楼层(共6层) , 1995年建 , 板楼,350,万,https://bj.lianjia.com/ershoufang/101106387376.html,房子是是东西通透的房子，单价26803元诚心出售
山水巢东 ,北苑,3室1厅 ,154.95,平米, 东南 , 精装 , 高楼层(共14层) , 2004年建 , 塔楼,800,万,https://bj.lianjia.com/ershoufang/101106387290.html,满五唯一东南大三居 看房方便 业主诚意出售
西辛南区 ,顺义城,2室1厅 ,80.07,平米, 南 北 , 其他 , 中楼层(共5层) , 1994年建 , 板楼,315,万,https://bj.lianjia.com/ershoufang/101106387282.html,西辛南区 2室1厅 315万
莲花池南里 ,广安门,2室1厅 ,49.01,平米, 南 西 , 简装 , 底层(共6层) , 1988年建 , 板楼,355,万,https://bj.lianjia.com/ershoufang/101106387265.html,三环内，交通便利，全南无遮挡，满五唯一两居出售
展春园 ,五道口,2室1厅 ,62.9,平米, 东 西 , 其他 , 中楼层(共6层) , 1992年建 , 板楼,520,万,https://bj.lianjia.com/ershoufang/101106387248.html,展春园 2室1厅 520万
星河湾 ,朝青,7室3厅 ,703.13,平米, 南 北 , 其他 , 中楼层(共29层) , 2006年建 , 板楼,5200,万,https://bj.lianjia.com/ershoufang/101106387204.html,《三期大平层》《巴洛克风格》《可观小区花园》
新街坊 ,北苑,2室1厅 ,100.19,平米, 东北 , 简装 , 高楼层(共19层) , 2004年建 , 板塔结合,515,万,https://bj.lianjia.com/ershoufang/101106387132.html,花园社区，东北大两居，无遮挡，采光好，满五唯一。
南顶村 ,赵公口,2室1厅 ,48,平米, 东北 , 简装 , 顶层(共6层) , 1989年建 , 板楼,253,万,https://bj.lianjia.com/ershoufang/101106387051.html,南三环南顶村，低总价优质两居室，业主诚售
百旺家苑 ,马连洼,3室2厅 ,131.7,平米, 南 北 , 精装 , 中楼层(共4层) , 2003年建 , 板楼,1250,万,https://bj.lianjia.com/ershoufang/101106387040.html,百旺家苑观山三居，双卧朝南，客厅朝西，三面采光
新马家园 ,马坡,2室1厅 ,81.86,平米, 南 北 , 其他 , 高楼层(共28层) , 2013年建 , 板塔结合,272,万,https://bj.lianjia.com/ershoufang/101106387022.html,新马家园 2室1厅 272万
主场 ,亚运村小营,1室0厅 ,43.7,平米, 北 , 精装 , 底层(共22层) , 2007年建 , 塔楼,400,万,https://bj.lianjia.com/ershoufang/101106387011.html,精装开间 户型方正 配套完善 交通便利
五芳园 ,鲁谷,2室1厅 ,65.15,平米, 西南 , 简装 , 中楼层(共6层) , 1994年建 , 板楼,265,万,https://bj.lianjia.com/ershoufang/101106387006.html,五芳园 2室1厅 265万
沿海赛洛城二期 ,百子湾,2室1厅 ,96.12,平米, 南 北 , 其他 , 中楼层(共8层) , 2007年建 , 板楼,605,万,https://bj.lianjia.com/ershoufang/101106386969.html,沿海赛洛城二期 2室1厅 605万
龙翔路小区 ,牡丹园,2室1厅 ,60.93,平米, 东南 , 简装 , 中楼层(共16层) , 1990年建 , 塔楼,549,万,https://bj.lianjia.com/ershoufang/101106386837.html,牡丹园龙翔路公房性质东南两居独立管理24小时保安
易构空间 ,大望路,2室1厅 ,68.64,平米, 西北 , 其他 , 低楼层(共28层) , 2004年建 , 塔楼,450,万,https://bj.lianjia.com/ershoufang/101106386751.html,西大望路满五唯一正规小两居，产权清晰 诚意出售
中仓小区 ,万达,2室1厅 ,68.02,平米, 南 北 , 精装 , 顶层(共6层) , 1991年建 , 板楼,290,万,https://bj.lianjia.com/ershoufang/101106386705.html,中仓小区 2室1厅 290万
梅园甲 ,马连洼,2室2厅 ,105.32,平米, 南 北 , 简装 , 底层(共6层) , 2002年建 , 板楼,670,万,https://bj.lianjia.com/ershoufang/101106386664.html,中间位置，南北通透，满五年公房
世嘉丽晶 ,和义,2室1厅 ,81.7,平米, 南 北 , 其他 , 中楼层(共6层) , 2005年建 , 板楼,410,万,https://bj.lianjia.com/ershoufang/101106386588.html,和义地铁  落地窗，视野开阔，采光好；主次卧分开
朝阳捷座 ,石佛营,2室1厅 ,83.16,平米, 西 , 简装 , 中楼层(共18层) , 2005年建 , 塔楼,490,万,https://bj.lianjia.com/ershoufang/101106386514.html,朝阳捷座 满五唯一  得房率81.8%
乐成豪丽 ,大望路,3室1厅 ,147.29,平米, 南 北 , 精装 , 中楼层(共13层) , 2008年建 , 板塔结合,980,万,https://bj.lianjia.com/ershoufang/101106386459.html,金地物业管理  南北通透 户型方正无缺角
香河园中里 ,国展,1室1厅 ,43.9,平米, 北 , 其他 , 中楼层(共16层) , 1981年建 , 塔楼,295,万,https://bj.lianjia.com/ershoufang/101106386449.html,香河园中里 1室1厅 295万
重兴嘉园 ,鲁谷,2室1厅 ,86.13,平米, 西南 , 精装 , 中楼层(共23层) , 2007年建 , 塔楼,425,万,https://bj.lianjia.com/ershoufang/101106386392.html,正规两居室，户型方正，满五年唯一，采光好视线好
右安门外大街 ,右安门外,1室1厅 ,47.7,平米, 东南 , 其他 , 高楼层(共10层) , 1997年建 , 板塔结合,286,万,https://bj.lianjia.com/ershoufang/101106386337.html,南二环右安门桥一居室，交通便利，业主诚心出售。
润景公馆 ,冯村,2室1厅 ,74.67,平米, 南 , 毛坯 , 顶层(共28层) , 2011年建 , 板楼,285,万,https://bj.lianjia.com/ershoufang/101106386289.html,华润开发 自持物业 挑高可做阁楼 南向采光充足
世纪星 ,宋家庄,1室0厅 ,47.39,平米, 西 , 精装 , 低楼层(共30层) , 2003年建 , 塔楼,280,万,https://bj.lianjia.com/ershoufang/101106386210.html,满五年唯一无抵押无户口随时签约
上东三角洲 ,酒仙桥,2室2厅 ,108.8,平米, 南 北 , 其他 , 底层(共16层) , 2004年建 , 板楼,625,万,https://bj.lianjia.com/ershoufang/101106386188.html,上东三角洲 南北通透两居室 满五唯一 户型方正
翠成馨园 ,垡头,2室1厅 ,90.18,平米, 南 北 , 精装 , 顶层(共11层) , 2007年建 , 板楼,450,万,https://bj.lianjia.com/ershoufang/101106386118.html,翠成馨园 2室1厅 450万
后现代城C区 ,大望路,3室2厅 ,128.68,平米, 东 南 , 简装 , 中楼层(共28层) , 2007年建 , 塔楼,830,万,https://bj.lianjia.com/ershoufang/101106386087.html,精装修 大客厅 东南两向 阳光好房 拎包入住 诚意出售
和平里三区 ,和平里,1室1厅 ,40.57,平米, 东南 , 简装 , 顶层(共6层) , 1996年建 , 板楼,480,万,https://bj.lianjia.com/ershoufang/101106386000.html,和平里三区 1室1厅 480万
SOHO现代城 ,CBD,3室2厅 ,144.3,平米, 西 , 其他 , 低楼层(共36层) , 2001年建 , 塔楼,700,万,https://bj.lianjia.com/ershoufang/101106385980.html,SOHO现代城 3室2厅 700万
澜花语岸 ,潞苑,2室1厅 ,88.63,平米, 南 北 , 精装 , 顶层(共6层) , 2003年建 , 板楼,420,万,https://bj.lianjia.com/ershoufang/101106385946.html,澜花语岸 2室1厅 420万
小康家园 ,亦庄,1室1厅 ,63.25,平米, 南 , 其他 , 中楼层(共6层) , 2000年建 , 板楼,280,万,https://bj.lianjia.com/ershoufang/101106385810.html,小康家园 1室1厅 280万
沁春家园 ,西三旗,2室1厅 ,109.08,平米, 西 北 , 其他 , 中楼层(共21层) , 2004年建 , 塔楼,550,万,https://bj.lianjia.com/ershoufang/101106385698.html,海淀沁春家园，精装修电梯大两居，带固定车位
丽水湾畔家园 ,广渠门,3室2厅 ,146.77,平米, 东南 , 其他 , 中楼层(共21层) , 2002年建 , 塔楼,1298,万,https://bj.lianjia.com/ershoufang/101106385658.html,广渠门  崇文门 东南向 大三居
蓝山国际公寓 ,果园,3室2厅 ,149.81,平米, 南 北 , 其他 , 中楼层(共10层) , 2004年建 , 板塔结合,610,万,https://bj.lianjia.com/ershoufang/101106385615.html,蓝山国际公寓 3室2厅 610万
京汉旭城 ,鲁谷,3室1厅 ,106.59,平米, 南 北 , 精装 , 低楼层(共15层) , 2004年建 , 板楼,690,万,https://bj.lianjia.com/ershoufang/101106385600.html,京汉旭城明厨明卫中间层三居室一梯两户南北通透
郁花园二里 ,郁花园,1室1厅 ,64.92,平米, 南 北 , 精装 , 中楼层(共7层) , 2001年建 , 板楼,340,万,https://bj.lianjia.com/ershoufang/101106385565.html,郁花园二里精装一居室，落地阳台，采光好视野好
华兴园 ,通州北苑,1室1厅 ,66.49,平米, 东 西 , 精装 , 中楼层(共6层) , 1999年建 , 板楼,290,万,https://bj.lianjia.com/ershoufang/101106385542.html,华兴园 1室1厅 290万
华馨园 ,通州其它,1室1厅 ,76.11,平米, 东 西 , 其他 , 低楼层(共6层) , 2001年建 , 板楼,240,万,https://bj.lianjia.com/ershoufang/101106385505.html,华馨园 1室1厅 240万
百子湾家园二区 ,百子湾,2室1厅 ,21,平米, 东 南 北 , 精装 , 底层(共16层) , 2006年建 , 板塔结合,540,万,https://bj.lianjia.com/ershoufang/101106385409.html,百子湾家园二区 2室1厅 540万
加州水郡四期 ,长阳,2室1厅 ,88.64,平米, 东南 , 精装 , 中楼层(共11层) , 2011年建 , 板楼,288,万,https://bj.lianjia.com/ershoufang/101106385336.html,东南全明格局 中高楼层 精装修 保持干净 看房方便
定福庄西街 ,定福庄,2室1厅 ,58.51,平米, 南 北 , 简装 , 顶层(共6层) , 1995年建 , 板楼,285,万,https://bj.lianjia.com/ershoufang/101106385313.html,定福庄西街 满五唯一 正规两居 南北通透 紧邻地铁
万方家园 ,万达,2室1厅 ,91.53,平米, 南 北 , 其他 , 顶层(共18层) , 2013年建 , 板楼,575,万,https://bj.lianjia.com/ershoufang/101106385294.html,万方家园 2室1厅 575万
张郭庄小区 ,丰台其它,2室1厅 ,77.12,平米, 南 北 , 其他 , 顶层(共6层) , 1999年建 , 暂无数据,257,万,https://bj.lianjia.com/ershoufang/101106385289.html,张郭庄小区 2室1厅 257万
奥林匹克花园一期 ,东坝,4室3厅 ,183.95,平米, 南 西 北 , 其他 , 中楼层(共5层) , 2003年建 , 板楼,1190,万,https://bj.lianjia.com/ershoufang/101106385260.html,奥园一期 少见平顶复式，价格周期好谈 小区好位置
福景苑 ,燕莎,3室1厅 ,268.87,平米, 西南 , 其他 , 高楼层(共26层) , 2002年建 , 塔楼,1700,万,https://bj.lianjia.com/ershoufang/101106385241.html,西南向观景三居 满五年 24小时管家式服务
车公庄大街 ,车公庄,2室1厅 ,65.2,平米, 南 , 精装 , 顶层(共13层) , 1990年建 , 板塔结合,720,万,https://bj.lianjia.com/ershoufang/101106385174.html,车公庄 展览路 央产房 双南2居
金顶阳光 ,苹果园,2室1厅 ,90.3,平米, 东南 北 , 其他 , 顶层(共21层) , 2009年建 , 板楼,420,万,https://bj.lianjia.com/ershoufang/101106385148.html,金顶阳光 2室1厅 420万
金惠园三里 ,黄村北,2室1厅 ,86.68,平米, 南 北 , 其他 , 中楼层(共6层) , 2007年建 , 板楼,435,万,https://bj.lianjia.com/ershoufang/101106385090.html,金惠园三里 2室1厅 435万
中堂 ,岳各庄,2室2厅 ,103.83,平米, 南 , 精装 , 高楼层(共17层) , 2011年建 , 板楼,710,万,https://bj.lianjia.com/ershoufang/101106385062.html,中堂 2室2厅 710万
金融街融汇 ,天宫院,2室1厅 ,77.26,平米, 南 , 精装 , 中楼层(共26层) , 2014年建 , 板楼,319,万,https://bj.lianjia.com/ershoufang/101106385011.html,天宫院 金融街融汇 两居室 纯南向 看房方便
远见名苑 ,广安门,1室0厅 ,48.96,平米, 北 , 简装 , 中楼层(共24层) , 2004年建 , 塔楼,450,万,https://bj.lianjia.com/ershoufang/101106384991.html,远见名苑 1室0厅 450万
富力丹麦小镇 ,天宫院南,3室2厅 ,130.1,平米, 南 北 , 精装 , 中楼层(共12层) , 2012年建 , 板楼,390,万,https://bj.lianjia.com/ershoufang/101106384953.html,房子南北通透格局，楼层高，视野好，满五年唯一。
海户屯 ,西罗园,2室1厅 ,60.1,平米, 南 北 , 其他 , 高楼层(共6层) , 1990年建 , 板楼,310,万,https://bj.lianjia.com/ershoufang/101106384913.html,海户屯 2室1厅 310万
河畔丽景 ,武夷花园,3室1厅 ,132.94,平米, 东南 , 精装 , 低楼层(共28层) , 2004年建 , 塔楼,585,万,https://bj.lianjia.com/ershoufang/101106384861.html,河畔丽景 3室1厅 585万
益民巷 ,牛街,3室1厅 ,104.16,平米, 南 北 , 其他 , 中楼层(共6层) , 1960年建 , 板楼,700,万,https://bj.lianjia.com/ershoufang/101106384859.html,益民巷 3室1厅 700万
珠江逸景 ,马驹桥,2室1厅 ,98.81,平米, 南 , 精装 , 低楼层(共11层) , 2010年建 , 板楼,275,万,https://bj.lianjia.com/ershoufang/101106384819.html,珠江逸景 2室1厅 275万
首创紫悦台 ,良乡,1室0厅 ,29.87,平米, 北 , 其他 , 中楼层(共14层) ,  , 暂无数据,99,万,https://bj.lianjia.com/ershoufang/101106384814.html,首创紫悦台 1室0厅 99万
南庭新苑北区 ,新宫,2室1厅 ,58.7,平米, 南 , 简装 , 中楼层(共16层) , 2012年建 , 板塔结合,340,万,https://bj.lianjia.com/ershoufang/101106384781.html,满五年回迁房，全南两居室，拎包入住
嘉和丽园 ,燕莎,3室1厅 ,177.47,平米, 东 , 精装 , 中楼层(共28层) , 2001年建 , 塔楼,1150,万,https://bj.lianjia.com/ershoufang/101106384701.html,燕莎使馆区 精装高层 复式 明厨明卫 金角三居
绿景苑 ,广渠门,1室2厅 ,60.94,平米, 东 , 其他 , 高楼层(共14层) , 2000年建 , 板塔结合,560,万,https://bj.lianjia.com/ershoufang/101106384664.html,广渠门内绿景苑，高层东向一居室。
瑞丽江畔 ,马家堡,2室1厅 ,92.57,平米, 南 , 其他 , 中楼层(共21层) , 2005年建 , 塔楼,600,万,https://bj.lianjia.com/ershoufang/101106384654.html,瑞丽江畔 2室1厅 600万
顺鑫澜庭 ,顺义其它,2室1厅 ,115.15,平米, 南 北 , 其他 , 中楼层(共6层) , 2007年建 , 板楼,300,万,https://bj.lianjia.com/ershoufang/101106384653.html,顺鑫澜庭 2室1厅 300万
青年沟 ,和平里,1室1厅 ,46.16,平米, 南 , 其他 , 中楼层(共6层) , 1994年建 , 板楼,490,万,https://bj.lianjia.com/ershoufang/101106384627.html,东城和平里青年沟 中间楼层朝南精装一居室
金台里 ,红庙,2室1厅 ,58.31,平米, 东 西 , 其他 , 顶层(共6层) , 1994年建 , 板楼,340,万,https://bj.lianjia.com/ershoufang/101106384601.html,公交集团家属楼 楼龄新 两居室
复兴路30号院 ,五棵松,2室0厅 ,41.12,平米, 南 , 其他 , 高楼层(共16层) , 1985年建 , 板塔结合,530,万,https://bj.lianjia.com/ershoufang/101106384556.html,复兴路30号院 2室0厅 530万
方舟苑二期 ,望京,1室1厅 ,55.96,平米, 西 北 , 其他 , 低楼层(共24层) , 2001年建 , 塔楼,370,万,https://bj.lianjia.com/ershoufang/101106384545.html,四环边，精装一居，配套齐全，低密度社区，交通便利
怡海花园恒丰园 ,玉泉营,2室1厅 ,79.8,平米, 南 北 , 其他 , 中楼层(共6层) , 2000年建 , 板楼,560,万,https://bj.lianjia.com/ershoufang/101106384511.html,怡海花园恒丰园 2室1厅 560万
东大桥路 ,朝阳门外,2室1厅 ,60.89,平米, 东 , 其他 , 中楼层(共5层) , 1967年建 , 板楼,430,万,https://bj.lianjia.com/ershoufang/101106384435.html,东大桥路 2室1厅 430万
八角北里 ,八角,2室1厅 ,78.9,平米, 南 北 , 简装 , 中楼层(共16层) , 1988年建 , 塔楼,415,万,https://bj.lianjia.com/ershoufang/101106384403.html,八角北里1988年钢混，正规两室一厅，带电梯
华威西里 ,潘家园,3室1厅 ,68.8,平米, 东北 , 精装 , 中楼层(共22层) , 1990年建 , 塔楼,420,万,https://bj.lianjia.com/ershoufang/101106384349.html,华威西里 3室1厅 420万
北街家园六区 ,沙河,2室1厅 ,63.37,平米, 东 , 简装 , 高楼层(共18层) , 2009年建 , 板楼,305,万,https://bj.lianjia.com/ershoufang/101106384321.html,北街家园六区两居室 双飘窗一阳台
长龙苑小区 ,长阳,1室1厅 ,80.85,平米, 南 北 , 简装 , 低楼层(共6层) , 2004年建 , 板楼,239,万,https://bj.lianjia.com/ershoufang/101106384297.html,长龙苑小区 1室1厅 239万
九台2000家园 ,亚运村,3室2厅 ,140.36,平米, 东南 , 简装 , 高楼层(共26层) , 2003年建 , 塔楼,950,万,https://bj.lianjia.com/ershoufang/101106384289.html,户型、楼层、采光、视野都无可挑剔的三居！税费低！
三嘉信苑 ,海淀北部新区,2室1厅 ,64.9,平米, 南 , 其他 , 中楼层(共10层) , 2011年建 , 板楼,290,万,https://bj.lianjia.com/ershoufang/101106384283.html,海淀产权，电梯两居室，商品房。
双峪路小区 ,滨河西区,3室1厅 ,68.19,平米, 南 北 , 简装 , 中楼层(共5层) , 1980年建 , 板楼,260,万,https://bj.lianjia.com/ershoufang/101106384281.html,南北通透 配套设施齐全 交通便利
永安南里 ,建国门外,4室2厅 ,136.67,平米, 南 北 , 其他 , 中楼层(共4层) , 1972年建 , 板楼,950,万,https://bj.lianjia.com/ershoufang/101106384266.html,永安南里 4室2厅 950万
天通苑北三区 ,天通苑,2室1厅 ,97.19,平米, 南 北 , 简装 , 中楼层(共7层) , 2005年建 , 板楼,390,万,https://bj.lianjia.com/ershoufang/101106384254.html,北三区05年小区，商品房满五年唯一，南北通透诚心出售
依翠园 ,鲁谷,2室1厅 ,75.42,平米, 东 , 其他 , 中楼层(共14层) , 2002年建 , 板塔结合,360,万,https://bj.lianjia.com/ershoufang/101106384226.html,依翠园 2室1厅 360万
八里庄北里小区 ,石佛营,2室1厅 ,64.23,平米, 东 西南 , 精装 , 低楼层(共6层) , 1996年建 , 板楼,380,万,https://bj.lianjia.com/ershoufang/101106384210.html,公安局家属院两居室，满5唯一，诚意出售。
中塔园 ,定慧寺,1室1厅 ,44.15,平米, 东 , 精装 , 高楼层(共6层) , 1995年建 , 板楼,409,万,https://bj.lianjia.com/ershoufang/101106384161.html,西三环航天桥，满五年公房，婚房装修，楼龄新
